dataset,pred_nodes,unique_frames,nodes_per_frame,candidate_edges,gt_nodes,est_nodes,node_tp,node_fp,node_fn,node_recall,node_precision,node_f1,pre_pe_ratio,final_nodes,final_edges,gt_edges,edge_tp,edge_fp,edge_fn,edge_recall,edge_precision,edge_f1,post_node_recall,final_pe_ratio,official_edge_jaccard,official_division_jaccard,official_score
6bba_718b21f9,4527,100,45.27,4305,661,4306,661,3866,0,1.0,0.146,0.2548,1.0513,4432,4270,652,652,0,0,1.0,1.0,1.0,1.0,1.0293,1.0,0.0,1.0
6bba_74686d6a,33171,100,331.71,27714,586,29803,584,32587,2,0.9966,0.0176,0.0346,1.113,30299,26788,576,548,17,28,0.9514,0.9699,0.9606,0.9966,1.0166,0.9241,0.0,0.9241
6bba_767a1e17,61253,100,612.53,50249,718,47714,716,60537,2,0.9972,0.0117,0.0231,1.2838,56242,48014,658,577,54,81,0.8769,0.9144,0.8953,0.9903,1.1787,0.8104,0.0,0.8104
6bba_76db78c1,5202,100,52.02,4773,617,4855,617,4585,0,1.0,0.1186,0.2121,1.0715,4963,4708,604,604,0,0,1.0,1.0,1.0,1.0,1.0222,1.0,0.0,1.0
6bba_784a78c9,13911,100,139.11,12815,1788,13096,1788,12123,0,1.0,0.1285,0.2278,1.0622,13345,12667,1739,1725,11,14,0.9919,0.9937,0.9928,1.0,1.019,0.9857,0.0,0.9857
6bba_786893ac,82047,100,820.47,65505,1465,58979,1456,80591,9,0.9939,0.0177,0.0349,1.3911,73369,62799,1395,1133,222,262,0.8122,0.8362,0.824,0.9863,1.244,0.7007,0.0,0.7007
6bba_789f8168,12153,100,121.53,10887,713,10676,713,11440,0,1.0,0.0587,0.1108,1.1383,11474,10560,681,665,15,16,0.9765,0.9779,0.9772,1.0,1.0747,0.9555,0.0,0.9555
6bba_78a7bd97,50473,100,504.73,41979,886,40613,880,49593,6,0.9932,0.0174,0.0343,1.2428,46588,40066,832,727,69,105,0.8738,0.9133,0.8931,0.9831,1.1471,0.8069,0.0,0.8069
6bba_7af54fde,13002,100,130.02,10578,1131,9624,1128,11874,3,0.9973,0.0868,0.1596,1.351,11480,10238,1092,1005,70,87,0.9203,0.9349,0.9275,0.9903,1.1929,0.8649,0.0,0.8649
6bba_7b5d3b2c,6158,100,61.58,5597,565,5780,565,5593,0,1.0,0.0918,0.1681,1.0654,5858,5513,555,547,4,8,0.9856,0.9927,0.9892,0.9982,1.0135,0.9785,0.0,0.9785
6bba_7d3058ae,8722,100,87.22,7645,1200,7611,1200,7522,0,1.0,0.1376,0.2419,1.146,8088,7563,1173,1158,8,15,0.9872,0.9931,0.9902,0.9975,1.0627,0.9805,0.0,0.9805
6bba_7f87b3d8,11417,100,114.17,9626,1000,10581,999,10418,1,0.999,0.0875,0.1609,1.079,10635,9376,934,913,13,21,0.9775,0.986,0.9817,0.998,1.0051,0.9641,0.0,0.9641
6bba_80d12824,10088,100,100.88,8734,680,9021,680,9408,0,1.0,0.0674,0.1263,1.1183,9448,8577,654,630,20,24,0.9633,0.9692,0.9663,0.9985,1.0473,0.9347,0.0,0.9347
6bba_825bd1c6,8252,100,82.52,7160,968,7586,966,7286,2,0.9979,0.1171,0.2095,1.0878,7706,6982,930,887,26,43,0.9538,0.9715,0.9626,0.9938,1.0158,0.9278,0.0,0.9278
6bba_87289e13,15352,100,153.52,13988,724,14966,724,14628,0,1.0,0.0472,0.0901,1.0258,14838,13792,699,694,1,5,0.9928,0.9986,0.9957,1.0,0.9914,0.9914,0.0,0.9914
6bba_8b7818bf,6661,100,66.61,5814,741,5828,741,5920,0,1.0,0.1112,0.2002,1.1429,6201,5726,725,721,0,4,0.9945,1.0,0.9972,1.0,1.064,0.9945,0.0,0.9945
6bba_907271db,7840,100,78.4,6986,945,7306,943,6897,2,0.9979,0.1203,0.2147,1.0731,7351,6846,921,908,7,13,0.9859,0.9923,0.9891,0.9968,1.0062,0.9784,0.0,0.9784
6bba_91951b3a,12652,100,126.52,11534,1188,11907,1186,11466,2,0.9983,0.0937,0.1714,1.0626,12079,11310,1148,1127,21,21,0.9817,0.9817,0.9817,0.9975,1.0144,0.9641,0.0,0.9641
6bba_96833384,5772,100,57.72,4946,758,4869,755,5017,3,0.996,0.1308,0.2312,1.1855,5274,4858,721,705,5,16,0.9778,0.993,0.9853,0.9934,1.0832,0.9711,0.0,0.9711
6bba_969618f6,18532,100,185.32,16232,679,13888,676,17856,3,0.9956,0.0365,0.0704,1.3344,17011,15534,658,637,13,21,0.9681,0.98,0.974,0.9926,1.2249,0.9493,0.0,0.9493
6bba_971fa5e0,5870,100,58.7,5164,792,5609,790,5080,2,0.9975,0.1346,0.2372,1.0465,5545,5078,767,761,3,6,0.9922,0.9961,0.9941,0.9975,0.9886,0.9883,0.0,0.9883
6bba_9a41d029,20328,100,203.28,18265,1401,18231,1401,18927,0,1.0,0.0689,0.129,1.115,19317,17847,1353,1273,66,80,0.9409,0.9507,0.9458,0.995,1.0596,0.8971,0.0,0.8971
6bba_9e23430b,9752,100,97.52,7974,914,7708,914,8838,0,1.0,0.0937,0.1714,1.2652,8635,7695,891,851,51,40,0.9551,0.9435,0.9492,1.0,1.1203,0.9034,0.0,0.9034
6bba_a5e926bb,9022,100,90.22,8001,741,8440,741,8281,0,1.0,0.0821,0.1518,1.069,8555,7814,698,675,6,23,0.967,0.9912,0.979,0.9852,1.0136,0.9588,0.0,0.9588
6bba_a90a0b9c,42258,100,422.58,34068,1147,36896,1133,41125,14,0.9878,0.0268,0.0522,1.1453,37719,33025,1112,886,196,226,0.7968,0.8189,0.8077,0.9773,1.0223,0.6774,0.0,0.6774
6bba_ab78413d,19443,100,194.43,14431,1179,9241,1146,18297,33,0.972,0.0589,0.1111,2.104,16379,13881,1138,992,104,146,0.8717,0.9051,0.8881,0.9635,1.7724,0.7987,0.0,0.7987
6bba_acd782a8,21762,100,217.62,19323,356,19710,355,21407,1,0.9972,0.0163,0.0321,1.1041,20680,18917,330,311,18,19,0.9424,0.9453,0.9439,0.9944,1.0492,0.8937,0.0,0.8937
6bba_ae82a791,7692,100,76.92,7126,1495,7403,1494,6198,1,0.9993,0.1942,0.3252,1.039,7381,6985,1471,1456,4,15,0.9898,0.9973,0.9935,0.998,0.997,0.9871,0.0,0.9871
6bba_aeee7805,5954,100,59.54,5320,795,5034,795,5159,0,1.0,0.1335,0.2356,1.1828,5564,5210,768,756,6,12,0.9844,0.9921,0.9882,0.9987,1.1053,0.9767,0.0,0.9767
6bba_af149c94,8741,100,87.41,7925,1350,8933,1344,7397,6,0.9956,0.1538,0.2664,0.9785,8292,7750,1317,1270,35,47,0.9643,0.9732,0.9687,0.9933,0.9282,0.9393,0.0,0.9393
6bba_afb141ff,7353,100,73.53,5758,654,6054,650,6703,4,0.9939,0.0884,0.1624,1.2146,6411,5658,626,597,20,29,0.9537,0.9676,0.9606,0.9924,1.059,0.9241,0.0,0.9241
6bba_b1ae37b9,26463,100,264.63,23176,612,24298,611,25852,1,0.9984,0.0231,0.0451,1.0891,24866,22525,579,549,20,30,0.9482,0.9649,0.9564,0.9967,1.0234,0.9165,0.0,0.9165
6bba_b204cac7,6215,100,62.15,5503,826,5092,826,5389,0,1.0,0.1329,0.2346,1.2205,5814,5404,811,805,2,6,0.9926,0.9975,0.9951,1.0,1.1418,0.9902,0.0,0.9902
6bba_b329af44,75801,100,758.01,66209,1316,62465,1306,74495,10,0.9924,0.0172,0.0339,1.2135,71573,64282,1268,1154,90,114,0.9101,0.9277,0.9188,0.9909,1.1458,0.8498,0.0,0.8498
6bba_b693381b,7238,100,72.38,6372,983,5558,982,6256,1,0.999,0.1357,0.2389,1.3023,6850,6255,935,918,17,17,0.9818,0.9818,0.9818,0.9959,1.2325,0.9643,0.0,0.9643
6bba_bb9f20c3,25219,100,252.19,22946,1925,23071,1921,23298,4,0.9979,0.0762,0.1415,1.0931,24318,22672,1879,1773,79,106,0.9436,0.9573,0.9504,0.9974,1.0541,0.9055,0.0,0.9055
6bba_bbb708ca,8811,100,88.11,7086,892,6785,892,7919,0,1.0,0.1012,0.1839,1.2986,7821,6882,861,846,12,15,0.9826,0.986,0.9843,0.9966,1.1527,0.9691,0.0,0.9691
6bba_c27cba08,7485,100,74.85,6514,517,6445,516,6969,1,0.9981,0.0689,0.129,1.1614,6925,6410,493,475,14,18,0.9635,0.9714,0.9674,0.9981,1.0745,0.9369,0.0,0.9369
6bba_c328f2fd,33734,100,337.34,28702,511,31228,508,33226,3,0.9941,0.0151,0.0297,1.0802,31167,28243,500,468,25,32,0.936,0.9493,0.9426,0.9941,0.998,0.8914,0.0,0.8914
6bba_c73a1d11,34528,100,345.28,27183,737,16315,732,33796,5,0.9932,0.0212,0.0415,2.1163,29691,25173,710,587,86,123,0.8268,0.8722,0.8489,0.9769,1.8199,0.7374,0.0,0.7374
6bba_cdcfe533,29687,100,296.87,27378,1419,29785,1419,28268,0,1.0,0.0478,0.0912,0.9967,28902,27189,1348,1327,11,21,0.9844,0.9918,0.9881,0.9993,0.9704,0.9765,0.0,0.9765
6bba_cf35214c,37966,100,379.66,34923,842,34890,841,37125,1,0.9988,0.0222,0.0433,1.0882,36766,34709,817,811,6,6,0.9927,0.9927,0.9927,0.9988,1.0538,0.9854,0.0,0.9854
6bba_cff5865f,50007,100,500.07,45718,1571,46362,1571,48436,0,1.0,0.0314,0.0609,1.0786,48394,45229,1501,1459,24,42,0.972,0.9838,0.9779,0.9981,1.0438,0.9567,0.0,0.9567
6bba_d0fc38b5,6913,100,69.13,6008,835,6111,835,6078,0,1.0,0.1208,0.2155,1.1312,6350,5910,813,800,13,13,0.984,0.984,0.984,1.0,1.0391,0.9685,0.0,0.9685
6bba_d1acb6ff,20318,100,203.18,17224,681,14719,676,19642,5,0.9927,0.0333,0.0644,1.3804,18146,16063,643,601,32,42,0.9347,0.9494,0.942,0.9897,1.2328,0.8904,0.0,0.8904
6bba_d2b9fc0c,19708,100,197.08,18291,944,20178,944,18764,0,1.0,0.0479,0.0914,0.9767,19136,18166,921,909,9,12,0.987,0.9902,0.9886,0.9989,0.9484,0.9774,0.0,0.9774
6bba_d3da753b,16854,100,168.54,15527,887,17246,887,15967,0,1.0,0.0526,0.1,0.9773,16387,15321,857,854,2,3,0.9965,0.9977,0.9971,1.0,0.9502,0.9942,0.0,0.9942
6bba_d5eae175,4406,100,44.06,4225,528,4519,528,3878,0,1.0,0.1198,0.214,0.975,4324,4174,519,519,0,0,1.0,1.0,1.0,1.0,0.9568,1.0,0.0,1.0
6bba_d6ecebbb,7815,100,78.15,6648,886,5359,884,6931,2,0.9977,0.1131,0.2032,1.4583,7173,6487,862,837,15,25,0.971,0.9824,0.9767,0.991,1.3385,0.9544,0.0,0.9544
6bba_d82a4fc6,33485,100,334.85,29344,545,27716,545,32940,0,1.0,0.0163,0.032,1.2081,31444,28684,530,506,21,24,0.9547,0.9602,0.9574,1.0,1.1345,0.9183,0.0,0.9183
6bba_debd7bfa,13248,100,132.48,11778,766,11807,765,12483,1,0.9987,0.0577,0.1092,1.122,12517,11471,729,715,9,14,0.9808,0.9876,0.9842,0.9987,1.0601,0.9688,0.0,0.9688
6bba_df673a83,24225,100,242.25,22081,668,19239,665,23560,3,0.9955,0.0275,0.0534,1.2592,22884,21269,654,628,13,26,0.9602,0.9797,0.9699,0.994,1.1895,0.9415,0.0,0.9415
6bba_e16ffc58,6572,100,65.72,6023,964,6367,963,5609,1,0.999,0.1465,0.2556,1.0322,6285,5924,942,926,16,16,0.983,0.983,0.983,0.999,0.9871,0.9666,0.0,0.9666
6bba_e5e44988,6376,100,63.76,5586,666,5615,664,5712,2,0.997,0.1041,0.1886,1.1355,5982,5450,634,623,10,11,0.9826,0.9842,0.9834,0.994,1.0654,0.9674,0.0,0.9674
6bba_ebdf3b34,64039,100,640.39,56583,847,56847,846,63193,1,0.9988,0.0132,0.0261,1.1265,61130,55662,803,753,30,50,0.9377,0.9617,0.9496,0.9941,1.0753,0.904,0.0,0.904
6bba_ebff6e76,69545,100,695.45,53701,1318,41596,1314,68231,4,0.997,0.0189,0.0371,1.6719,59785,50823,1264,1011,203,253,0.7998,0.8328,0.816,0.9825,1.4373,0.6892,0.0,0.6892
6bba_ed9377fd,4991,100,49.91,4469,531,4443,531,4460,0,1.0,0.1064,0.1923,1.1233,4691,4401,508,504,1,4,0.9921,0.998,0.9951,1.0,1.0558,0.9902,0.0,0.9902
6bba_edf14583,59349,100,593.49,51249,801,59242,800,58549,1,0.9988,0.0135,0.0266,1.0018,55389,50017,760,712,35,48,0.9368,0.9531,0.9449,0.995,0.935,0.8956,0.0,0.8956
6bba_eebc57a5,12003,100,120.03,9602,1026,9347,1018,10985,8,0.9922,0.0848,0.1563,1.2842,10578,9428,989,891,68,98,0.9009,0.9291,0.9148,0.9766,1.1317,0.843,0.0,0.843
6bba_ef7b4f7e,7113,100,71.13,6042,1234,6107,1233,5880,1,0.9992,0.1733,0.2954,1.1647,6426,5902,1201,1175,8,26,0.9784,0.9932,0.9857,0.9943,1.0522,0.9719,0.0,0.9719
6bba_f17befbc,30821,100,308.21,25748,1078,24963,1077,29744,1,0.9991,0.0349,0.0675,1.2347,28386,24585,1015,925,65,90,0.9113,0.9343,0.9227,0.9944,1.1371,0.8565,0.0,0.8565
6bba_f1fde7e0,10441,100,104.41,8637,476,9040,474,9967,2,0.9958,0.0454,0.0868,1.155,9600,8354,446,428,14,18,0.9596,0.9683,0.964,0.9916,1.0619,0.9304,0.0,0.9304
6bba_f20478e9,5991,100,59.91,5240,1003,5973,1002,4989,1,0.999,0.1673,0.2865,1.003,5572,5132,963,933,18,30,0.9688,0.9811,0.9749,0.992,0.9329,0.9511,0.0,0.9511
6bba_f4ae811c,10845,100,108.45,9488,1001,8903,999,9846,2,0.998,0.0921,0.1687,1.2181,10013,9239,965,954,11,11,0.9886,0.9886,0.9886,0.998,1.1247,0.9775,0.0,0.9775
6bba_f8ffd5e7,36485,100,364.85,31358,389,29540,388,36097,1,0.9974,0.0106,0.021,1.2351,34062,30660,370,347,11,23,0.9378,0.9693,0.9533,0.9846,1.1531,0.9108,0.0,0.9108
6bba_fbc898dc,5873,100,58.73,5205,655,4889,655,5218,0,1.0,0.1115,0.2007,1.2013,5522,5115,639,630,6,9,0.9859,0.9906,0.9882,0.9985,1.1295,0.9767,0.0,0.9767
6bba_fc516dc6,8063,100,80.63,7140,788,7866,788,7275,0,1.0,0.0977,0.1781,1.025,7683,7026,762,760,0,2,0.9974,1.0,0.9987,1.0,0.9767,0.9974,0.0,0.9974
6bba_fc5f39dc,20806,100,208.06,18373,471,14020,469,20337,2,0.9958,0.0225,0.0441,1.484,19280,17760,458,431,22,27,0.941,0.9514,0.9462,0.9958,1.3752,0.8979,0.0,0.8979
6bba_fc83837d,18960,100,189.6,13861,957,13087,942,18018,15,0.9843,0.0497,0.0946,1.4488,15705,13082,923,805,80,118,0.8722,0.9096,0.8905,0.9697,1.2,0.8026,0.0,0.8026
6bba_fe670320,11711,100,117.11,9980,716,10836,716,10995,0,1.0,0.0611,0.1152,1.0807,10813,9779,680,670,0,10,0.9853,1.0,0.9926,0.9986,0.9979,0.9853,0.0,0.9853
