dataset,noise_ratio,n_gt_nodes,n_noise_nodes,n_gt_edges,n_pred_edges,tp_edges,fp_edges,culled_gt,kept_gt,culled_noise,kept_noise,gt_erase_rate,noise_purge_rate,pre_pe_ratio,post_pe_ratio,edge_precision,edge_recall
44b6_40c45f5a,0.5,200,100,198,202,198,4,0,200,92,8,0.0,0.92,1.5152,1.0297,0.9802,1.0
44b6_415c0a3a,0.5,331,161,322,331,322,9,0,331,147,14,0.0,0.913043,1.528,1.0423,0.9728,1.0
44b6_53f95252,0.5,70,19,68,70,68,2,0,70,15,4,0.0,0.789474,1.3088,1.0571,0.9714,1.0
44b6_551a5dba,0.5,228,124,224,228,224,4,0,228,116,8,0.0,0.935484,1.5714,1.0351,0.9825,1.0
44b6_5740d24b,0.5,173,73,170,170,170,0,0,173,73,0,0.0,1.0,1.4471,1.0176,1.0,1.0
44b6_587a1e22,0.5,381,188,371,375,368,7,0,381,174,14,0.0,0.925532,1.5337,1.0533,0.9813,0.9919
44b6_5f15d135,0.5,278,176,273,275,269,6,1,277,164,12,0.003597,0.931818,1.663,1.0509,0.9782,0.9853
44b6_668e0cc7,0.5,643,336,631,644,616,28,1,642,292,44,0.001555,0.869048,1.5515,1.0652,0.9565,0.9762
44b6_66f9292d,0.5,200,100,198,228,198,30,0,200,52,48,0.0,0.52,1.5152,1.0877,0.8684,1.0
44b6_706092f0,0.5,118,18,117,129,114,15,0,118,2,16,0.0,0.111111,1.1624,1.0388,0.8837,0.9744
44b6_71a4179f,0.5,121,21,119,126,119,7,0,121,10,11,0.0,0.47619,1.1933,1.0476,0.9444,1.0
44b6_74d0c52e,0.5,140,40,139,139,138,1,0,140,38,2,0.0,0.95,1.295,1.0216,0.9928,0.9928
44b6_7a302da0,0.5,516,275,507,519,506,13,0,516,251,24,0.0,0.912727,1.5602,1.0405,0.975,0.998
44b6_7e557709,0.5,570,254,560,569,560,9,0,570,240,14,0.0,0.944882,1.4714,1.0264,0.9842,1.0
44b6_808952d6,0.5,181,81,179,181,179,2,0,181,77,4,0.0,0.950617,1.4637,1.0221,0.989,1.0
44b6_81c256f0,0.5,199,99,197,200,197,3,0,199,93,6,0.0,0.939394,1.5127,1.025,0.985,1.0
44b6_87bba6c4,0.5,153,73,149,138,134,4,5,148,69,4,0.03268,0.945205,1.5168,1.1014,0.971,0.8993
44b6_8cc6506c,0.5,400,200,396,407,396,11,0,400,179,21,0.0,0.895,1.5152,1.0344,0.973,1.0
44b6_8f5ab931,0.5,616,327,604,619,603,16,1,615,299,28,0.001623,0.914373,1.5613,1.0388,0.9742,0.9983
44b6_8f9ecab4,0.5,374,187,370,394,370,24,0,374,143,44,0.0,0.764706,1.5162,1.0609,0.9391,1.0
44b6_90724892,0.5,105,48,103,104,103,1,0,105,46,2,0.0,0.958333,1.4854,1.0288,0.9904,1.0
44b6_949adeb1,0.5,388,185,378,384,378,6,0,388,173,12,0.0,0.935135,1.5159,1.0417,0.9844,1.0
44b6_95029e92,0.5,200,100,198,205,198,7,0,200,86,14,0.0,0.86,1.5152,1.0439,0.9659,1.0
44b6_97725144,0.5,225,125,221,222,219,3,1,224,120,5,0.004444,0.96,1.5837,1.0315,0.9865,0.991
44b6_996155de,0.5,380,200,377,395,376,19,0,380,166,34,0.0,0.83,1.5385,1.0481,0.9519,0.9973
44b6_9be80b04,0.5,222,122,220,271,219,52,0,222,38,84,0.0,0.311475,1.5636,1.1292,0.8081,0.9955
44b6_9bfa6a0a,0.5,264,153,259,269,259,10,0,264,136,17,0.0,0.888889,1.61,1.0446,0.9628,1.0
44b6_a21120c2,0.5,296,152,286,287,282,5,0,296,144,8,0.0,0.947368,1.5664,1.0592,0.9826,0.986
44b6_a2bb48bb,0.5,416,208,410,422,404,18,0,416,178,30,0.0,0.855769,1.522,1.0569,0.9573,0.9854
44b6_aaf8b0ea,0.5,209,109,206,212,205,7,0,209,98,11,0.0,0.899083,1.5437,1.0377,0.967,0.9951
44b6_abf82518,0.5,96,38,94,95,94,1,0,96,36,2,0.0,0.947368,1.4255,1.0316,0.9895,1.0
44b6_b2c44266,0.5,170,70,168,174,168,6,0,170,58,12,0.0,0.828571,1.4286,1.046,0.9655,1.0
44b6_c15fded2,0.5,104,50,102,98,95,3,1,103,50,0,0.009615,1.0,1.5098,1.051,0.9694,0.9314
44b6_c50204e0,0.5,333,159,325,338,323,15,0,333,135,24,0.0,0.849057,1.5138,1.0562,0.9556,0.9938
44b6_c771cb04,0.5,227,121,223,229,223,6,0,227,110,11,0.0,0.909091,1.5605,1.0393,0.9738,1.0
44b6_c8e2a523,0.5,168,81,164,161,159,2,0,168,78,3,0.0,0.962963,1.5183,1.0621,0.9876,0.9695
44b6_c96cfa10,0.5,629,331,616,631,616,15,0,629,302,29,0.0,0.912387,1.5584,1.0428,0.9762,1.0
44b6_cf2536e8,0.5,76,0,75,75,75,0,0,76,0,0,0.0,0.0,1.0133,1.0133,1.0,1.0
44b6_cf8fed6b,0.5,191,97,188,187,186,1,0,191,95,2,0.0,0.979381,1.5319,1.0321,0.9947,0.9894
44b6_d29c9ab2,0.5,1353,688,1328,1343,1293,50,4,1349,616,72,0.002956,0.895349,1.5369,1.0581,0.9628,0.9736
44b6_d2f34f90,0.5,283,148,281,293,279,14,0,283,122,26,0.0,0.824324,1.5338,1.0546,0.9522,0.9929
44b6_d5e7d891,0.5,906,459,893,920,889,31,1,905,403,56,0.001104,0.877996,1.5286,1.0446,0.9663,0.9955
44b6_d754aa59,0.5,72,5,70,66,64,2,1,71,5,0,0.013889,1.0,1.1,1.0758,0.9697,0.9143
44b6_d78e09d9,0.5,463,214,451,460,451,9,0,463,196,18,0.0,0.915888,1.5011,1.0457,0.9804,1.0
44b6_db3c847b,0.5,165,78,162,162,161,1,0,165,77,1,0.0,0.987179,1.5,1.0247,0.9938,0.9938
44b6_ddf577ad,0.5,659,323,647,686,645,41,0,659,250,73,0.0,0.773994,1.5178,1.0671,0.9402,0.9969
44b6_deabac95,0.5,126,43,124,125,123,2,0,126,41,2,0.0,0.953488,1.3629,1.024,0.984,0.9919
44b6_e28840c6,0.5,311,176,309,369,306,63,0,311,77,99,0.0,0.4375,1.5761,1.1111,0.8293,0.9903
44b6_e29f0176,0.5,51,0,50,47,46,1,2,49,0,0,0.039216,0.0,1.02,1.0426,0.9787,0.92
44b6_e31261b4,0.5,116,34,113,113,113,0,0,116,34,0,0.0,1.0,1.3274,1.0265,1.0,1.0
44b6_e35b117d,0.5,270,151,266,270,266,4,0,270,143,8,0.0,0.94702,1.5827,1.0296,0.9852,1.0
44b6_e57ff5c6,0.5,193,88,186,174,169,5,5,188,86,2,0.025907,0.977273,1.5108,1.092,0.9713,0.9086
44b6_eb2880fc,0.5,390,204,379,387,378,9,0,390,191,13,0.0,0.936275,1.5673,1.0413,0.9767,0.9974
44b6_f28707c6,0.5,63,0,61,58,55,3,0,63,0,0,0.0,0.0,1.0328,1.0862,0.9483,0.9016
6bba_05b6850b,0.5,861,429,845,856,841,15,1,860,393,36,0.001161,0.916084,1.5266,1.0467,0.9825,0.9953
6bba_05db0fb1,0.5,1229,613,1183,1208,1169,39,1,1228,542,71,0.000814,0.884176,1.5571,1.0753,0.9677,0.9882
6bba_062c8d37,0.5,930,455,898,906,884,22,0,930,406,49,0.0,0.892308,1.5423,1.0806,0.9757,0.9844
6bba_07477033,0.5,613,311,602,620,601,19,0,613,270,41,0.0,0.868167,1.5349,1.0548,0.9694,0.9983
6bba_07e24132,0.5,359,186,345,345,339,6,2,357,171,15,0.005571,0.919355,1.5797,1.0783,0.9826,0.9826
6bba_085bf656,0.5,1198,609,1168,1208,1164,44,0,1198,520,89,0.0,0.853859,1.5471,1.0654,0.9636,0.9966
6bba_09961292,0.5,1950,981,1871,1991,1858,133,0,1950,729,252,0.0,0.743119,1.5665,1.106,0.9332,0.9931
6bba_0c7fa718,0.5,704,343,659,634,609,25,3,701,298,45,0.004261,0.868805,1.5888,1.1767,0.9606,0.9241
6bba_0e7c0d07,0.5,209,101,198,196,193,3,0,209,95,6,0.0,0.940594,1.5657,1.0969,0.9847,0.9747
6bba_12665c0e,0.5,1036,521,998,996,963,33,2,1034,462,59,0.001931,0.886756,1.5601,1.0974,0.9669,0.9649
6bba_13f19531,0.5,737,374,704,709,696,13,1,736,336,38,0.001357,0.898396,1.5781,1.0917,0.9817,0.9886
6bba_15403b9a,0.5,758,384,729,735,713,22,0,758,336,48,0.0,0.875,1.5665,1.0966,0.9701,0.9781
6bba_1d0d8384,0.5,1438,722,1365,1397,1331,66,4,1434,609,113,0.002782,0.84349,1.5824,1.1074,0.9528,0.9751
6bba_1ebfb80d,0.5,745,376,719,724,709,15,0,745,342,34,0.0,0.909574,1.5591,1.076,0.9793,0.9861
6bba_1f58c2f6,0.5,317,159,299,296,288,8,2,315,146,13,0.006309,0.918239,1.592,1.1081,0.973,0.9632
6bba_207c6aaf,0.5,475,230,450,452,434,18,4,471,206,24,0.008421,0.895652,1.5667,1.0951,0.9602,0.9644
6bba_20852818,0.5,952,480,909,917,880,37,4,948,419,61,0.004202,0.872917,1.5754,1.1003,0.9597,0.9681
6bba_2312ac41,0.5,1156,585,1132,1144,1126,18,0,1156,535,50,0.0,0.91453,1.538,1.0542,0.9843,0.9947
6bba_23af9eeb,0.5,513,253,499,505,496,9,0,513,233,20,0.0,0.920949,1.5351,1.0554,0.9822,0.994
6bba_2540cd90,0.5,529,234,523,527,523,4,0,529,220,14,0.0,0.940171,1.4589,1.0304,0.9924,1.0
6bba_2646afc7,0.5,738,371,721,730,712,18,0,738,333,38,0.0,0.897574,1.5381,1.063,0.9753,0.9875
6bba_268e1230,0.5,641,329,609,592,579,13,2,639,305,24,0.00312,0.927052,1.5928,1.1199,0.978,0.9507
6bba_2819ca14,0.5,986,481,949,941,913,28,1,985,420,61,0.001014,0.873181,1.5458,1.1116,0.9702,0.9621
6bba_283bf9f1,0.5,1342,670,1288,1317,1274,43,0,1342,586,84,0.0,0.874627,1.5621,1.0828,0.9674,0.9891
6bba_312f0dc3,0.5,520,263,500,510,495,15,1,519,227,36,0.001923,0.863118,1.566,1.0882,0.9706,0.99
6bba_32db13fc,0.5,862,423,811,818,784,34,2,860,347,76,0.00232,0.820331,1.5845,1.1443,0.9584,0.9667
6bba_337b1b3a,0.5,1272,644,1213,1277,1196,81,0,1272,513,131,0.0,0.796584,1.5796,1.0987,0.9366,0.986
6bba_372c8cb8,0.5,1036,516,1007,1032,1006,26,0,1036,457,59,0.0,0.885659,1.5412,1.061,0.9748,0.999
6bba_3a1849c2,0.5,1173,582,1142,1165,1139,26,1,1172,530,52,0.000853,0.910653,1.5368,1.0506,0.9777,0.9974
6bba_3abfe10a,0.5,997,499,935,977,924,53,0,997,412,87,0.0,0.825651,1.6,1.1095,0.9458,0.9882
6bba_3c5691b6,0.5,765,371,746,756,737,19,1,764,335,36,0.001307,0.902965,1.5228,1.0582,0.9749,0.9879
6bba_3db54e20,0.5,502,246,474,468,456,12,0,502,222,24,0.0,0.902439,1.5781,1.1239,0.9744,0.962
6bba_3fda6b25,0.5,1207,605,1179,1203,1168,35,2,1205,533,72,0.001657,0.880992,1.5369,1.0615,0.9709,0.9907
6bba_43fea39d,0.5,910,460,880,892,860,32,2,908,402,58,0.002198,0.873913,1.5568,1.083,0.9641,0.9773
6bba_474be664,0.5,292,173,286,291,284,7,0,292,158,15,0.0,0.913295,1.6259,1.055,0.9759,0.993
6bba_48816121,0.5,935,466,918,934,909,25,0,935,413,53,0.0,0.886266,1.5261,1.0578,0.9732,0.9902
6bba_4aa14c89,0.5,707,367,681,694,678,16,0,707,334,33,0.0,0.910082,1.5771,1.0663,0.9769,0.9956
6bba_4f99ce20,0.5,1057,525,1010,1008,968,40,1,1056,441,84,0.000946,0.84,1.5663,1.131,0.9603,0.9584
6bba_4ffd3da3,0.5,706,345,689,702,684,18,0,706,309,36,0.0,0.895652,1.5254,1.057,0.9744,0.9927
6bba_55b7eebe,0.5,705,366,688,703,686,17,0,705,328,38,0.0,0.896175,1.5567,1.0569,0.9758,0.9971
6bba_55c70843,0.5,490,247,467,481,464,17,0,490,225,22,0.0,0.910931,1.5782,1.0644,0.9647,0.9936
6bba_57b7cc1e,0.5,1659,820,1592,1661,1575,86,0,1659,670,150,0.0,0.817073,1.5572,1.0891,0.9482,0.9893
6bba_5a4d9360,0.5,747,379,722,708,689,19,3,744,339,40,0.004016,0.894459,1.5596,1.1073,0.9732,0.9543
6bba_5b28472a,0.5,737,372,724,735,715,20,1,736,336,36,0.001357,0.903226,1.5318,1.0503,0.9728,0.9876
6bba_5c039895,0.5,1174,594,1145,1168,1137,31,1,1173,521,73,0.000852,0.877104,1.5441,1.0668,0.9735,0.993
6bba_5c824876,0.5,1170,593,1130,1146,1121,25,2,1168,536,57,0.001709,0.903879,1.5602,1.0689,0.9782,0.992
6bba_5dfe9ad1,0.5,1542,769,1487,1534,1474,60,0,1542,663,106,0.0,0.862159,1.5541,1.0743,0.9609,0.9913
6bba_5f89039d,0.5,904,471,885,911,884,27,0,904,409,62,0.0,0.868365,1.5537,1.0604,0.9704,0.9989
6bba_61dd1e0d,0.5,558,272,543,548,541,7,0,558,254,18,0.0,0.933824,1.5285,1.0511,0.9872,0.9963
6bba_61ecbe65,0.5,640,332,614,599,586,13,4,636,307,25,0.00625,0.924699,1.5831,1.1035,0.9783,0.9544
6bba_6321a359,0.5,827,421,798,803,785,18,1,826,377,44,0.001209,0.895487,1.5639,1.0834,0.9776,0.9837
6bba_6479435d,0.5,617,295,580,585,563,22,1,616,250,45,0.001621,0.847458,1.5724,1.1299,0.9624,0.9707
6bba_67ebd073,0.5,462,225,438,420,407,13,1,461,204,21,0.002165,0.906667,1.5685,1.1476,0.969,0.9292
6bba_6ca87370,0.5,1081,537,1052,1067,1031,36,1,1080,471,66,0.000925,0.877095,1.538,1.074,0.9663,0.98
6bba_6db0e9b4,0.5,449,226,440,443,439,4,1,448,219,7,0.002227,0.969027,1.5341,1.0271,0.991,0.9977
6bba_6feb10f0,0.5,1368,702,1343,1387,1341,46,0,1368,599,103,0.0,0.853276,1.5413,1.0606,0.9668,0.9985
6bba_6feeb0b1,0.5,1389,690,1343,1382,1335,47,0,1389,595,95,0.0,0.862319,1.548,1.0738,0.966,0.994
6bba_705ec2c9,0.5,596,304,562,572,553,19,1,595,277,27,0.001678,0.911184,1.6014,1.0874,0.9668,0.984
6bba_718b21f9,0.5,661,336,652,661,650,11,0,661,309,27,0.0,0.919643,1.5291,1.0408,0.9834,0.9969
6bba_74686d6a,0.5,586,281,576,577,566,11,0,586,257,24,0.0,0.914591,1.5052,1.0572,0.9809,0.9826
6bba_767a1e17,0.5,718,359,658,675,621,54,2,716,292,67,0.002786,0.81337,1.6368,1.16,0.92,0.9438
6bba_76db78c1,0.5,617,302,604,613,603,10,0,617,275,27,0.0,0.910596,1.5215,1.0506,0.9837,0.9983
6bba_784a78c9,0.5,1788,894,1739,1803,1735,68,0,1788,756,138,0.0,0.845638,1.5423,1.0682,0.9623,0.9977
6bba_786893ac,0.5,1465,734,1395,1445,1378,67,5,1460,601,133,0.003413,0.818801,1.5763,1.1024,0.9536,0.9878
6bba_789f8168,0.5,713,352,681,674,654,20,4,709,325,27,0.00561,0.923295,1.5639,1.092,0.9703,0.9604
6bba_78a7bd97,0.5,886,442,832,840,805,35,4,882,384,58,0.004515,0.868778,1.5962,1.119,0.9583,0.9675
6bba_7af54fde,0.5,1131,573,1092,1119,1088,31,0,1131,506,67,0.0,0.883072,1.5604,1.0706,0.9723,0.9963
6bba_7b5d3b2c,0.5,565,267,555,564,555,9,0,565,245,22,0.0,0.917603,1.4991,1.0408,0.984,1.0
6bba_7d3058ae,0.5,1200,606,1173,1192,1154,38,2,1198,534,72,0.001667,0.881188,1.5396,1.0654,0.9681,0.9838
6bba_7f87b3d8,0.5,1000,493,934,908,854,54,6,994,427,66,0.006,0.866126,1.5985,1.1674,0.9405,0.9143
6bba_80d12824,0.5,680,341,654,652,633,19,1,679,301,40,0.001471,0.882698,1.5612,1.1028,0.9709,0.9679
6bba_825bd1c6,0.5,968,479,930,954,922,32,1,967,421,58,0.001033,0.878914,1.5559,1.0744,0.9665,0.9914
6bba_87289e13,0.5,724,362,699,675,661,14,1,723,341,21,0.001381,0.941989,1.5536,1.1022,0.9793,0.9456
6bba_8b7818bf,0.5,741,379,725,735,719,16,0,741,346,33,0.0,0.912929,1.5448,1.0531,0.9782,0.9917
6bba_907271db,0.5,945,470,921,932,919,13,0,945,437,33,0.0,0.929787,1.5364,1.0494,0.9861,0.9978
6bba_91951b3a,0.5,1188,593,1148,1163,1133,30,0,1188,534,59,0.0,0.900506,1.5514,1.0722,0.9742,0.9869
6bba_96833384,0.5,758,386,721,735,715,20,0,758,351,35,0.0,0.909326,1.5867,1.0789,0.9728,0.9917
6bba_969618f6,0.5,679,353,658,663,653,10,0,679,329,24,0.0,0.932011,1.5684,1.0603,0.9849,0.9924
6bba_971fa5e0,0.5,792,388,767,757,745,12,1,791,361,27,0.001263,0.930412,1.5385,1.0806,0.9841,0.9713
6bba_9a41d029,0.5,1401,699,1353,1393,1341,52,0,1401,601,98,0.0,0.8598,1.5521,1.0761,0.9627,0.9911
6bba_9e23430b,0.5,914,459,891,898,879,19,0,914,418,41,0.0,0.910675,1.541,1.0635,0.9788,0.9865
6bba_a5e926bb,0.5,741,384,698,686,663,23,3,738,342,42,0.004049,0.890625,1.6117,1.137,0.9665,0.9499
6bba_a90a0b9c,0.5,1147,580,1112,1137,1108,29,0,1147,507,73,0.0,0.874138,1.5531,1.073,0.9745,0.9964
6bba_ab78413d,0.5,1179,590,1138,1159,1130,29,0,1179,526,64,0.0,0.891525,1.5545,1.0725,0.975,0.993
6bba_acd782a8,0.5,356,171,330,334,316,18,2,354,149,22,0.005618,0.871345,1.597,1.1257,0.9461,0.9576
6bba_ae82a791,0.5,1495,747,1471,1501,1454,47,0,1495,653,94,0.0,0.874163,1.5241,1.0586,0.9687,0.9884
6bba_aeee7805,0.5,795,409,768,788,767,21,0,795,362,47,0.0,0.885086,1.5677,1.0685,0.9734,0.9987
6bba_af149c94,0.5,1350,678,1317,1366,1314,52,0,1350,574,104,0.0,0.846608,1.5399,1.0644,0.9619,0.9977
6bba_afb141ff,0.5,654,322,626,630,604,26,2,652,284,38,0.003058,0.881988,1.5591,1.0952,0.9587,0.9649
6bba_b1ae37b9,0.5,612,308,579,601,574,27,0,612,263,45,0.0,0.853896,1.5889,1.0932,0.9551,0.9914
6bba_b204cac7,0.5,826,400,811,817,807,10,0,826,375,25,0.0,0.9375,1.5117,1.0416,0.9878,0.9951
6bba_b329af44,0.5,1316,659,1268,1298,1255,43,0,1316,571,88,0.0,0.866464,1.5576,1.0817,0.9669,0.9897
6bba_b693381b,0.5,983,501,935,933,896,37,2,981,429,72,0.002035,0.856287,1.5872,1.1286,0.9603,0.9583
6bba_bb9f20c3,0.5,1925,962,1879,1943,1862,81,0,1925,802,160,0.0,0.83368,1.5365,1.0731,0.9583,0.991
6bba_bbb708ca,0.5,892,440,861,866,843,23,1,891,396,44,0.001121,0.9,1.547,1.0797,0.9734,0.9791
6bba_c27cba08,0.5,517,254,493,499,493,6,0,517,238,16,0.0,0.937008,1.5639,1.0681,0.988,1.0
6bba_c328f2fd,0.5,511,249,500,510,492,18,0,511,217,32,0.0,0.871486,1.52,1.0647,0.9647,0.984
6bba_c73a1d11,0.5,737,360,710,705,667,38,0,737,313,47,0.0,0.869444,1.5451,1.1121,0.9461,0.9394
6bba_cdcfe533,0.5,1419,710,1348,1387,1327,60,1,1418,620,90,0.000705,0.873239,1.5794,1.0872,0.9567,0.9844
6bba_cf35214c,0.5,842,426,817,832,816,16,0,842,390,36,0.0,0.915493,1.552,1.0553,0.9808,0.9988
6bba_cff5865f,0.5,1571,795,1501,1577,1484,93,0,1571,639,156,0.0,0.803774,1.5763,1.0951,0.941,0.9887
6bba_d0fc38b5,0.5,835,413,813,826,808,18,0,835,372,41,0.0,0.900726,1.5351,1.0605,0.9782,0.9938
6bba_d1acb6ff,0.5,681,343,643,648,628,20,2,679,307,36,0.002937,0.895044,1.5925,1.1034,0.9691,0.9767
6bba_d2b9fc0c,0.5,944,471,921,928,918,10,0,944,445,26,0.0,0.944798,1.5364,1.0453,0.9892,0.9967
6bba_d3da753b,0.5,887,444,857,854,821,33,1,886,387,57,0.001127,0.871622,1.5531,1.1042,0.9614,0.958
6bba_d5eae175,0.5,528,264,519,530,517,13,0,528,235,29,0.0,0.890152,1.526,1.0509,0.9755,0.9961
6bba_d6ecebbb,0.5,886,429,862,886,859,27,0,886,376,53,0.0,0.876457,1.5255,1.0598,0.9695,0.9965
6bba_d82a4fc6,0.5,545,248,530,530,524,6,1,544,234,14,0.001835,0.943548,1.4962,1.0528,0.9887,0.9887
6bba_debd7bfa,0.5,766,378,729,718,692,26,3,763,334,44,0.003916,0.883598,1.5693,1.124,0.9638,0.9492
6bba_df673a83,0.5,668,341,654,667,650,17,0,668,306,35,0.0,0.897361,1.5428,1.054,0.9745,0.9939
6bba_e16ffc58,0.5,964,474,942,948,928,20,0,964,429,45,0.0,0.905063,1.5265,1.0643,0.9789,0.9851
6bba_e5e44988,0.5,666,335,634,619,601,18,4,662,299,36,0.006006,0.892537,1.5789,1.1276,0.9709,0.9479
6bba_ebdf3b34,0.5,847,422,803,808,787,21,0,847,374,48,0.0,0.886256,1.5803,1.1077,0.974,0.9801
6bba_ebff6e76,0.5,1318,652,1264,1302,1257,45,0,1318,558,94,0.0,0.855828,1.5585,1.0845,0.9654,0.9945
6bba_ed9377fd,0.5,531,278,508,520,506,14,0,531,248,30,0.0,0.892086,1.5925,1.0788,0.9731,0.9961
6bba_edf14583,0.5,801,400,760,780,759,21,0,801,366,34,0.0,0.915,1.5803,1.0705,0.9731,0.9987
6bba_eebc57a5,0.5,1026,517,989,995,973,22,1,1025,470,47,0.000975,0.909091,1.5602,1.0774,0.9779,0.9838
6bba_ef7b4f7e,0.5,1234,612,1201,1236,1198,38,0,1234,533,79,0.0,0.870915,1.5371,1.0623,0.9693,0.9975
6bba_f17befbc,0.5,1078,545,1015,1024,989,35,3,1075,475,70,0.002783,0.87156,1.599,1.1182,0.9658,0.9744
6bba_f1fde7e0,0.5,476,243,446,418,405,13,2,474,220,23,0.004202,0.90535,1.6121,1.189,0.9689,0.9081
6bba_f20478e9,0.5,1003,504,963,951,915,36,5,998,440,64,0.004985,0.873016,1.5649,1.1167,0.9621,0.9502
6bba_f4ae811c,0.5,1001,501,965,991,952,39,0,1001,429,72,0.0,0.856287,1.5565,1.0827,0.9606,0.9865
6bba_f8ffd5e7,0.5,389,184,370,367,347,20,4,385,161,23,0.010283,0.875,1.5486,1.1117,0.9455,0.9378
6bba_fbc898dc,0.5,655,333,639,659,637,22,0,655,289,44,0.0,0.867868,1.5462,1.0607,0.9666,0.9969
6bba_fc516dc6,0.5,788,399,762,742,722,20,1,787,355,44,0.001269,0.889724,1.5577,1.1199,0.973,0.9475
6bba_fc5f39dc,0.5,471,241,458,472,456,16,0,471,214,27,0.0,0.887967,1.5546,1.0551,0.9661,0.9956
6bba_fc83837d,0.5,957,498,923,935,904,31,2,955,444,54,0.00209,0.891566,1.5764,1.0791,0.9668,0.9794
6bba_fe670320,0.5,716,355,680,681,667,14,1,715,317,38,0.001397,0.892958,1.575,1.1057,0.9794,0.9809
44b6_0113de3b,1.0,52,52,50,51,50,1,0,52,50,2,0.0,0.961538,2.08,1.0588,0.9804,1.0
44b6_0b24845f,1.0,51,51,49,50,49,1,0,51,49,2,0.0,0.960784,2.0816,1.06,0.98,1.0
44b6_0c582fdc,1.0,71,71,70,73,70,3,0,71,65,6,0.0,0.915493,2.0286,1.0548,0.9589,1.0
44b6_0db75fae,1.0,157,157,151,156,150,6,0,157,146,11,0.0,0.929936,2.0795,1.0769,0.9615,0.9934
44b6_12dfb391,1.0,788,788,773,846,772,74,0,788,650,138,0.0,0.824873,2.0388,1.0946,0.9125,0.9987
44b6_144b256d,1.0,121,121,119,165,117,48,0,121,48,73,0.0,0.396694,2.0336,1.1758,0.7091,0.9832
44b6_1574802b,1.0,155,155,153,160,152,8,0,155,139,16,0.0,0.896774,2.0261,1.0688,0.95,0.9935
44b6_18ced818,1.0,100,100,99,100,99,1,0,100,98,2,0.0,0.98,2.0202,1.02,0.99,1.0
44b6_1d530831,1.0,276,276,271,288,270,18,0,276,240,36,0.0,0.869565,2.0369,1.0833,0.9375,0.9963
44b6_24264f12,1.0,230,230,221,225,221,4,0,230,222,8,0.0,0.965217,2.0814,1.0578,0.9822,1.0
44b6_267148e4,1.0,280,280,277,278,271,7,0,280,267,13,0.0,0.953571,2.0217,1.054,0.9748,0.9783
44b6_2a2eff9f,1.0,214,214,210,232,209,23,0,214,173,41,0.0,0.808411,2.0381,1.0991,0.9009,0.9952
44b6_2f31fc2f,1.0,89,89,85,85,81,4,1,88,83,6,0.011236,0.932584,2.0941,1.1059,0.9529,0.9529
44b6_33b596bf,1.0,50,50,49,55,47,8,0,50,37,13,0.0,0.74,2.0408,1.1455,0.8545,0.9592
44b6_341df25f,1.0,216,216,209,229,208,21,0,216,178,38,0.0,0.824074,2.067,1.1092,0.9083,0.9952
44b6_3a861e03,1.0,935,935,919,984,898,86,3,932,781,154,0.003209,0.835294,2.0348,1.1037,0.9126,0.9771
44b6_3bb3690f,1.0,400,400,396,441,396,45,0,400,315,85,0.0,0.7875,2.0202,1.0998,0.898,1.0
44b6_40c45f5a,1.0,200,200,198,221,197,24,0,200,158,42,0.0,0.79,2.0202,1.095,0.8914,0.9949
44b6_415c0a3a,1.0,331,331,322,355,322,33,0,331,270,61,0.0,0.81571,2.0559,1.1042,0.907,1.0
44b6_53f95252,1.0,70,70,68,79,66,13,0,70,49,21,0.0,0.7,2.0588,1.1519,0.8354,0.9706
44b6_551a5dba,1.0,228,228,224,241,224,17,0,228,196,32,0.0,0.859649,2.0357,1.0788,0.9295,1.0
44b6_5740d24b,1.0,173,173,170,184,170,14,0,173,146,27,0.0,0.843931,2.0353,1.087,0.9239,1.0
44b6_587a1e22,1.0,381,381,371,386,367,19,0,381,344,37,0.0,0.902887,2.0539,1.0829,0.9508,0.9892
44b6_5f15d135,1.0,278,278,273,277,269,8,1,277,262,16,0.003597,0.942446,2.0366,1.0578,0.9711,0.9853
44b6_668e0cc7,1.0,643,643,631,684,618,66,1,642,524,119,0.001555,0.81493,2.038,1.1126,0.9035,0.9794
44b6_66f9292d,1.0,200,200,198,291,198,93,0,200,59,141,0.0,0.295,2.0202,1.1718,0.6804,1.0
44b6_706092f0,1.0,118,118,117,197,116,81,0,118,16,102,0.0,0.135593,2.0171,1.1168,0.5888,0.9915
44b6_71a4179f,1.0,121,121,119,155,119,36,0,121,63,58,0.0,0.520661,2.0336,1.1548,0.7677,1.0
44b6_74d0c52e,1.0,140,140,139,155,138,17,0,140,107,33,0.0,0.764286,2.0144,1.1161,0.8903,0.9928
44b6_7a302da0,1.0,516,516,507,545,506,39,0,516,442,74,0.0,0.856589,2.0355,1.0826,0.9284,0.998
44b6_7e557709,1.0,570,570,560,594,560,34,0,570,504,66,0.0,0.884211,2.0357,1.0707,0.9428,1.0
44b6_808952d6,1.0,181,181,179,188,179,9,0,181,163,18,0.0,0.900552,2.0223,1.0585,0.9521,1.0
44b6_81c256f0,1.0,199,199,197,212,197,15,0,199,169,30,0.0,0.849246,2.0203,1.0802,0.9292,1.0
44b6_87bba6c4,1.0,153,153,149,141,133,8,4,149,145,8,0.026144,0.947712,2.0537,1.1135,0.9433,0.8926
44b6_8cc6506c,1.0,400,400,396,440,396,44,0,400,317,83,0.0,0.7925,2.0202,1.0977,0.9,1.0
