dataset,series,bg_median,bg_noise,dyn_range,snr_proxy,contrast_ratio,p01,p995,estimated_number_of_nodes,n_frames,est_per_frame,total_pred_nodes,pe_ratio,recall,precision,f1_score
6bba_971fa5e0,6bba,38.0,17.049666419570052,645.0,36.716239334692666,17.473679612189574,19.0,664.0,5609,100,56.09,9285,1.6553752897129612,0.9924,0.0847,0.156
6bba_9a41d029,6bba,157.0,152.70570793180133,963.0,5.553164684892274,6.401273477625893,42.0,1005.0,18231,100,182.31,22421,1.2298283144095223,0.9615,0.0601,0.1131
6bba_9e23430b,6bba,46.0,37.805782060785766,879.0,22.483327386272812,19.4782566351616,17.0,896.0,7708,100,77.08,9622,1.2483134405812144,0.9595,0.0911,0.1665
6bba_a5e926bb,6bba,88.0,71.16382505559675,501.0,6.140759553762016,5.965908412964953,24.0,525.0,8440,100,84.4,11194,1.326303317535545,0.9852,0.0652,0.1223
6bba_a90a0b9c,6bba,577.0,344.6997776130467,2241.0,5.059475122038023,4.022530259574865,80.0,2321.0,36896,100,368.96,44568,1.2079358196010408,0.8439,0.0217,0.0423
6bba_ab78413d,6bba,233.0,337.28687916975537,2132.0,5.778463564941817,9.364806465029766,50.0,2182.0,9241,100,92.41,13796,1.4929120225083865,0.3325,0.0284,0.0524
6bba_acd782a8,6bba,108.0,183.83988139362492,966.0,4.7704553856716,9.12036952589171,19.0,985.0,19710,100,197.1,23789,1.2069507864028413,0.9551,0.0143,0.0282
6bba_ae82a791,6bba,65.0,51.89028910303929,653.0,11.851926287393063,10.461536852071253,27.0,680.0,7403,100,74.03,10770,1.4548156152910983,0.9806,0.1361,0.2391
6bba_aeee7805,6bba,59.0,26.686434395848778,509.0,17.42457680395719,8.88135442688908,15.0,524.0,5034,100,50.34,6648,1.3206197854588797,0.9962,0.1191,0.2128
6bba_af149c94,6bba,93.0,85.9896219421794,552.0,5.733249333262641,6.301074591282302,34.0,586.0,8933,100,89.33,12046,1.3484831523564311,0.9637,0.108,0.1942
6bba_afb141ff,6bba,30.0,13.343217197924389,474.0,34.02475227811621,16.13332795555735,10.0,484.0,6054,100,60.54,9055,1.4957053187974894,0.9755,0.0705,0.1314
6bba_b1ae37b9,6bba,255.0,515.9377316530764,1785.0,3.0778907449414565,7.227450696962718,58.0,1843.0,24298,88,276.1136363636364,27293,1.1232611737591571,0.9608,0.0215,0.0421
6bba_b204cac7,6bba,83.0,49.66641957005189,812.0,15.342355119875064,10.180721664973293,33.0,845.0,5092,100,50.92,11716,2.300864100549882,0.9625,0.0679,0.1268
6bba_b329af44,6bba,1262.0,700.5189028910304,2553.0,2.1155745729744964,2.174326448697889,191.0,2744.0,62465,100,624.65,72284,1.15719202753542,0.9012,0.0164,0.0322
6bba_b693381b,6bba,50.0,28.910303928836175,524.0,17.191096617746325,10.939997812000437,23.0,547.0,5558,100,55.58,9134,1.6433969053616408,0.9919,0.1067,0.1927
6bba_bb9f20c3,6bba,155.0,186.0637509266123,1025.0,4.8639240413771505,6.838709236212307,35.0,1060.0,23071,100,230.71,31774,1.3772268215508647,0.9335,0.0566,0.1067
6bba_bbb708ca,6bba,32.0,24.46256486286138,366.0,14.021418510638311,11.71874633789177,9.0,375.0,6785,100,67.85,8838,1.3025792188651437,0.9507,0.0959,0.1743
6bba_c27cba08,6bba,38.0,44.47739065974796,447.0,9.263131250672657,11.842102146815224,3.0,450.0,6445,100,64.45,7766,1.204965089216447,0.9439,0.0628,0.1178
6bba_c328f2fd,6bba,202.0,261.67531504818385,1187.0,3.9514616053676574,6.118811578276654,49.0,1236.0,31228,100,312.28,37361,1.1963942615601384,0.8082,0.0111,0.0218
6bba_c73a1d11,6bba,278.0,261.67531504818385,865.0,2.441957413762024,3.2985610324258623,52.0,917.0,16315,100,163.15,21443,1.3143119828378793,0.5767,0.0198,0.0383
6bba_cdcfe533,6bba,243.0,175.68569310600446,944.0,4.223451236395117,4.053497775576223,41.0,985.0,29785,100,297.85,36503,1.2255497733758602,0.9859,0.0383,0.0738
6bba_cf35214c,6bba,308.0,255.00370644922165,1109.0,3.2430899891009184,3.685064815419974,26.0,1135.0,34890,100,348.9,42557,1.2197477787331614,0.9869,0.0195,0.0383
6bba_cff5865f,6bba,275.0,167.53150481838398,1207.0,5.873521773301731,4.578181651702486,52.0,1259.0,46362,100,463.62,56314,1.2146585565765067,0.9701,0.0271,0.0527
6bba_d0fc38b5,6bba,68.0,36.323202372127504,602.0,15.582322240703528,9.32352804065764,32.0,634.0,6111,100,61.11,8570,1.4023891343478971,0.9749,0.095,0.1731
6bba_d1acb6ff,6bba,90.0,116.38250555967383,520.0,3.8407831094766616,5.966666003703777,17.0,537.0,14719,100,147.19,17044,1.1579591004823697,0.9104,0.0364,0.07
6bba_d2b9fc0c,6bba,120.0,108.9696071163825,1008.0,8.442720313657842,8.666665944444505,32.0,1040.0,20178,100,201.78,29757,1.4747249479631281,0.9936,0.0315,0.0611
6bba_d3da753b,6bba,147.0,94.14381022979985,923.0,8.603857353810742,6.5102036387616575,34.0,957.0,17246,100,172.46,26740,1.5505044648034327,0.9966,0.0331,0.064
6bba_d5eae175,6bba,49.0,32.61675315048184,754.0,22.411788583294815,15.91836409829304,26.0,780.0,4519,100,45.19,8537,1.8891347643283913,1.0,0.0618,0.1165
6bba_d6ecebbb,6bba,31.0,14.084507042253522,723.0,49.770964662615086,23.61289560874335,9.0,732.0,5359,100,53.59,7826,1.4603470796790445,0.8984,0.1017,0.1827
6bba_d82a4fc6,6bba,277.0,260.93402520385473,1149.0,3.5564544091574715,4.350180348368941,56.0,1205.0,27716,100,277.16,31984,1.1539904748159908,0.989,0.0169,0.0331
6bba_debd7bfa,6bba,121.0,103.78057820607857,595.0,4.817856678622238,5.132230980807357,26.0,621.0,11807,100,118.07,14366,1.2167358346743458,0.9256,0.0494,0.0937
6bba_df673a83,6bba,133.0,197.92438843587843,872.0,3.8347975590583556,6.706766413025082,20.0,892.0,19239,99,194.33333333333334,21742,1.1301003170642965,0.9117,0.028,0.0544
6bba_e16ffc58,6bba,65.0,57.82060785767235,848.0,13.991548862230843,13.44615177751511,26.0,874.0,6367,100,63.67,11452,1.798649285377729,0.9554,0.0804,0.1484
6bba_e5e44988,6bba,42.0,42.9948109710897,409.0,8.931308267528472,10.14285472789173,17.0,426.0,5615,100,56.15,7808,1.3905609973285842,0.958,0.0817,0.1506
6bba_ebdf3b34,6bba,511.0,289.10303928836174,1336.0,3.061192201806455,2.73189818528575,60.0,1396.0,56847,100,568.47,65195,1.1468503175189544,0.9374,0.0122,0.024
6bba_ebff6e76,6bba,671.0,202.3721275018532,1259.0,3.982761707958039,2.2011922175679253,218.0,1477.0,41596,100,415.96,52294,1.257188191172228,0.7481,0.0189,0.0368
6bba_ed9377fd,6bba,47.0,26.686434395848778,650.0,23.420130112845687,14.297869298325681,22.0,672.0,4443,100,44.43,6784,1.5268962412784155,0.9529,0.0746,0.1383
6bba_edf14583,6bba,818.0,493.6990363232024,2084.0,2.8904248663786314,2.744498743954783,161.0,2245.0,59242,100,592.42,63099,1.0651058370750481,0.9563,0.0121,0.024
6bba_eebc57a5,6bba,98.0,103.03928836174944,793.0,7.084675571422493,8.448978729696048,35.0,828.0,9347,100,93.47,15759,1.6859955065796512,0.9532,0.0621,0.1165
6bba_ef7b4f7e,6bba,41.0,22.979985174203115,681.0,28.590084332895557,17.024386091613145,17.0,698.0,6107,100,61.07,8043,1.3170132634681513,0.9789,0.1502,0.2604
6bba_f17befbc,6bba,155.0,263.89918458117126,1234.0,4.225098154504005,8.193547858480784,36.0,1270.0,24963,100,249.63,27635,1.1070384168569483,0.8915,0.0348,0.0669
6bba_f1fde7e0,6bba,60.0,96.36767976278725,671.0,6.475199328073547,11.399998100000316,13.0,684.0,9040,100,90.4,12402,1.3719026548672566,0.8992,0.0345,0.0665
6bba_f20478e9,6bba,82.0,39.288361749444036,386.0,8.424884648081246,5.036584751636005,27.0,413.0,5973,100,59.73,9712,1.6259835928344215,0.99,0.1022,0.1853
6bba_f4ae811c,6bba,75.0,87.47220163083766,593.0,6.230550135168463,8.26666556444459,27.0,620.0,8903,100,89.03,10547,1.184656857239133,0.961,0.0912,0.1666
6bba_f8ffd5e7,6bba,309.0,334.32171979243884,1176.0,2.6172393895641703,3.831715086352263,8.0,1184.0,29540,100,295.4,37331,1.2637440758293839,0.9692,0.0101,0.02
6bba_fbc898dc,6bba,36.0,15.567086730911786,659.0,41.17659259656028,18.805550331791572,18.0,677.0,4889,100,48.89,6755,1.3816731437921865,1.0,0.097,0.1768
6bba_fc516dc6,6bba,70.0,63.00963676797628,825.0,12.394927444616808,12.157141120408411,26.0,851.0,7866,100,78.66,13824,1.757437070938215,0.9695,0.0553,0.1046
6bba_fc5f39dc,6bba,53.0,103.78057820607857,769.0,6.985892184002246,14.679242513350468,9.0,778.0,14020,100,140.2,16696,1.190870185449358,0.7792,0.022,0.0428
6bba_fc83837d,6bba,108.0,98.59154929577466,693.0,6.318999359072921,6.768517891803898,38.0,731.0,13087,100,130.87,16186,1.2367998777412699,0.861,0.0509,0.0961
6bba_fe670320,6bba,39.0,37.805782060785766,587.0,15.024152888709363,15.564098573308057,20.0,607.0,10836,100,108.36,14124,1.3034330011074198,0.9818,0.0498,0.0947
