dataset,series,gt_nodes,estimated_nodes,raw_nodes,raw_pe_ratio,raw_recall,target_nodes_90,int_nodes,int_pe_ratio,int_recall,int_recall_drop,snr_nodes,snr_pe_ratio,snr_recall,snr_recall_drop,comp_nodes,comp_pe_ratio,comp_recall,comp_recall_drop
6bba_af149c94,6bba,1350,8933,12046,1.3485,0.9637,8040,8035,0.8995,0.9244,0.0393,8035,0.8995,0.7578,0.2059,8035,0.8995,0.9126,0.0511
6bba_afb141ff,6bba,654,6054,9055,1.4957,0.9755,5449,5449,0.9001,0.7431,0.2324,5449,0.9001,0.7324,0.2431,5449,0.9001,0.7431,0.2324
6bba_b1ae37b9,6bba,612,24298,27293,1.1233,0.9608,21868,21868,0.9,0.8922,0.0686,21868,0.9,0.9101,0.0507,21868,0.9,0.9216,0.0392
6bba_b204cac7,6bba,826,5092,11716,2.3009,0.9625,4583,4583,0.9,0.7494,0.2131,4583,0.9,0.2772,0.6852,4583,0.9,0.6065,0.3559
6bba_b329af44,6bba,1316,62465,72284,1.1572,0.9012,56218,56216,0.9,0.6626,0.2386,56216,0.9,0.7257,0.1755,56216,0.9,0.6755,0.2257
6bba_b693381b,6bba,983,5558,9134,1.6434,0.9919,5002,4998,0.8992,0.5788,0.413,4998,0.8992,0.5015,0.4903,4998,0.8992,0.5351,0.4568
6bba_bb9f20c3,6bba,1925,23071,31774,1.3772,0.9335,20764,20763,0.9,0.7668,0.1668,20763,0.9,0.786,0.1475,20763,0.9,0.7751,0.1584
6bba_bbb708ca,6bba,892,6785,8838,1.3026,0.9507,6106,6098,0.8987,0.8767,0.074,6098,0.8987,0.7679,0.1827,6098,0.8987,0.8408,0.1099
6bba_c27cba08,6bba,517,6445,7766,1.205,0.9439,5800,5799,0.8998,0.8569,0.087,5799,0.8998,0.9033,0.0406,5799,0.8998,0.882,0.0619
6bba_c328f2fd,6bba,511,31228,37361,1.1964,0.8082,28105,28105,0.9,0.775,0.0333,28105,0.9,0.6614,0.1468,28105,0.9,0.7495,0.0587
6bba_c73a1d11,6bba,737,16315,21443,1.3143,0.5767,14684,14684,0.9,0.4328,0.1438,14684,0.9,0.3908,0.1859,14684,0.9,0.4193,0.1574
6bba_cdcfe533,6bba,1419,29785,36503,1.2255,0.9859,26806,26806,0.9,0.7893,0.1966,26806,0.9,0.7999,0.186,26806,0.9,0.7949,0.191
6bba_cf35214c,6bba,842,34890,42557,1.2197,0.9869,31401,31401,0.9,0.6758,0.3112,31401,0.9,0.8135,0.1734,31401,0.9,0.6663,0.3207
6bba_cff5865f,6bba,1571,46362,56314,1.2147,0.9701,41726,41725,0.9,0.8912,0.0789,41725,0.9,0.8421,0.1279,41725,0.9,0.8822,0.0878
6bba_d0fc38b5,6bba,835,6111,8570,1.4024,0.9749,5500,5500,0.9,0.8946,0.0802,5500,0.9,0.5952,0.3796,5500,0.9,0.9401,0.0347
6bba_d1acb6ff,6bba,681,14719,17044,1.158,0.9104,13247,13247,0.9,0.7841,0.1263,13247,0.9,0.8341,0.0764,13247,0.9,0.8135,0.0969
6bba_d2b9fc0c,6bba,944,20178,29757,1.4747,0.9936,18160,18160,0.9,0.6811,0.3125,18160,0.9,0.7797,0.214,18160,0.9,0.7214,0.2722
6bba_d3da753b,6bba,887,17246,26740,1.5505,0.9966,15521,15521,0.9,0.9166,0.08,15521,0.9,0.7835,0.2131,15521,0.9,0.8794,0.1172
6bba_d5eae175,6bba,528,4519,8537,1.8891,1.0,4067,4066,0.8998,0.6648,0.3352,4066,0.8998,0.2292,0.7708,4066,0.8998,0.5833,0.4167
6bba_d6ecebbb,6bba,886,5359,7826,1.4603,0.8984,4823,4823,0.9,0.6501,0.2483,4823,0.9,0.5711,0.3273,4823,0.9,0.6309,0.2675
6bba_d82a4fc6,6bba,545,27716,31984,1.154,0.989,24944,24944,0.9,0.9706,0.0183,24944,0.9,0.9138,0.0752,24944,0.9,0.9761,0.0128
6bba_debd7bfa,6bba,766,11807,14366,1.2167,0.9256,10626,10624,0.8998,0.7689,0.1567,10624,0.8998,0.5979,0.3277,10624,0.8998,0.6697,0.2559
6bba_df673a83,6bba,668,19239,21742,1.1301,0.9117,17315,17315,0.9,0.9012,0.0105,17315,0.9,0.8249,0.0868,17315,0.9,0.8728,0.0389
6bba_e16ffc58,6bba,964,6367,11452,1.7986,0.9554,5730,5730,0.9,0.7095,0.2459,5730,0.9,0.5,0.4554,5730,0.9,0.6722,0.2832
6bba_e5e44988,6bba,666,5615,7808,1.3906,0.958,5054,5054,0.9001,0.8018,0.1562,5054,0.9001,0.5631,0.3949,5054,0.9001,0.6727,0.2853
6bba_ebdf3b34,6bba,847,56847,65195,1.1469,0.9374,51162,51160,0.9,0.8312,0.1063,51160,0.9,0.8359,0.1015,51160,0.9,0.8241,0.1133
6bba_ebff6e76,6bba,1318,41596,52294,1.2572,0.7481,37436,37435,0.9,0.6692,0.0789,37435,0.9,0.5835,0.1646,37435,0.9,0.6396,0.1085
6bba_ed9377fd,6bba,531,4443,6784,1.5269,0.9529,3999,3999,0.9001,0.8098,0.1431,3999,0.9001,0.4294,0.5235,3999,0.9001,0.5782,0.3748
6bba_edf14583,6bba,801,59242,63099,1.0651,0.9563,53318,53318,0.9,0.8589,0.0974,53318,0.9,0.9263,0.03,53318,0.9,0.9238,0.0325
6bba_eebc57a5,6bba,1026,9347,15759,1.686,0.9532,8412,8411,0.8999,0.5614,0.3918,8411,0.8999,0.4318,0.5214,8411,0.8999,0.5156,0.4376
6bba_ef7b4f7e,6bba,1234,6107,8043,1.317,0.9789,5496,5496,0.9,0.7974,0.1815,5496,0.9,0.8728,0.1062,5496,0.9,0.8047,0.1742
6bba_f17befbc,6bba,1078,24963,27635,1.107,0.8915,22467,22467,0.9,0.7913,0.1002,22467,0.9,0.8228,0.0686,22467,0.9,0.8061,0.0853
6bba_f1fde7e0,6bba,476,9040,12402,1.3719,0.8992,8136,8136,0.9,0.7164,0.1828,8136,0.9,0.6345,0.2647,8136,0.9,0.6239,0.2752
6bba_f20478e9,6bba,1003,5973,9712,1.626,0.99,5376,5374,0.8997,0.8514,0.1386,5374,0.8997,0.6351,0.3549,5374,0.8997,0.7577,0.2323
